id;bill_date;bill_number;duration;duration_type;service_contact;is_replaceable;expired_on;bill;bill_content_type
1;2023-07-20T12:31:25;BMW Southeast Northwest;406;YEARS;"4471080477";true;2023-07-21T03:38:15;../fake-data/blob/hipster.png;image/png
2;2023-07-20T20:14:31;Associate increase;15037;MONTHS;"5570045582";true;2023-07-21T01:27:30;../fake-data/blob/hipster.png;image/png
3;2023-07-20T14:30:20;Global Granite Bicycle;25915;MONTHS;"6049544278";true;2023-07-21T00:53:38;../fake-data/blob/hipster.png;image/png
4;2023-07-20T17:20:34;eek Ouguiya radian;10956;MONTHS;"2777121665";false;2023-07-20T13:16:11;../fake-data/blob/hipster.png;image/png
5;2023-07-21T10:17:30;Borders Accountability card;22241;MONTHS;"7116476666";false;2023-07-21T00:57:03;../fake-data/blob/hipster.png;image/png
6;2023-07-21T06:02:14;commit pfft;21888;YEARS;"3064370908";true;2023-07-21T10:02:45;../fake-data/blob/hipster.png;image/png
7;2023-07-21T09:49:22;Orchestrator Plastic;26266;MONTHS;"9720373587";true;2023-07-21T05:14:57;../fake-data/blob/hipster.png;image/png
8;2023-07-20T21:43:59;Granite;30631;DAYS;"2387006976";true;2023-07-20T13:04:29;../fake-data/blob/hipster.png;image/png
9;2023-07-21T06:57:58;Van Computer stingy;25277;MONTHS;"2678186256";true;2023-07-20T20:41:24;../fake-data/blob/hipster.png;image/png
10;2023-07-20T11:17:03;Colorado;5736;YEARS;"7892953161";false;2023-07-20T11:00:38;../fake-data/blob/hipster.png;image/png
